Station Name,Available Docks,Percent Full,Docks in Service,Latitude,Longitude,Timestamp
2112 W Peterson Ave,27,31,39,41.876535,-87.620473,5/7/2022 23:35
63rd St Beach,46,10,51,41.867226,-87.615355,5/7/2022 23:35
900 W Harrison St,22,0,22,41.857412,-87.613792,5/7/2022 23:35
Aberdeen St & Jackson Blvd,12,45,22,41.874053,-87.627716,5/7/2022 23:35
Aberdeen St & Monroe St,27,23,35,41.886976,-87.612813,5/7/2022 23:35
Aberdeen St & Randolph St,14,18,17,41.886349,-87.617517,5/7/2022 23:35
Ada St & 113th St,11,27,15,41.828792,-87.680604,5/7/2022 23:35
Ada St & Washington Blvd,7,30,10,41.766638,-87.57645,5/7/2022 23:35
Adler Planetarium,7,53,15,41.766409,-87.565688,5/7/2022 23:35
Albany Ave & 16th St,12,25,16,41.932418,-87.652705,5/7/2022 23:35
Albany Ave & 26th St,6,54,13,41.858086,-87.651073,5/7/2022 23:35
Albany Ave & Belmont Ave,3,77,13,41.858166,-87.656495,5/7/2022 23:35
Albany Ave & Bloomingdale Ave,8,47,15,41.909855,-87.66993,5/7/2022 23:35
Albany Ave & Douglas Blvd,18,14,21,41.903119,-87.673935,5/7/2022 23:35
Albany Ave & Montrose Ave,9,40,15,41.883143,-87.637242,5/7/2022 23:35
Altgeld Gardens,14,7,15,41.868968,-87.659141,5/7/2022 23:35
Archer (Damen) Ave & 37th St,9,40,15,41.910522,-87.653106,5/7/2022 23:35
Archer Ave & 43rd St,18,22,23,41.877726,-87.654787,5/7/2022 23:35
Artesian Ave & 55th St,14,7,15,41.869482,-87.655486,5/7/2022 23:35
Artesian Ave & Hubbard St,12,20,15,41.902924,-87.637715,5/7/2022 23:35
Ashland Ave & 13th St,3,77,13,41.891847,-87.62058,5/7/2022 23:35
Ashland Ave & 50th St,9,59,22,41.89766,-87.62351,5/7/2022 23:35
Ashland Ave & 63rd St,5,83,30,41.890847,-87.618617,5/7/2022 23:35
Ashland Ave & 66th St,11,39,18,41.91021,-87.6435,5/7/2022 23:35
Ashland Ave & 74th St,2,87,15,41.91468,-87.64332,5/7/2022 23:35
Ashland Ave & 78th St,13,13,15,41.90068,-87.6626,5/7/2022 23:35
Ashland Ave & Archer Ave,14,0,14,41.899643,-87.6677,5/7/2022 23:35
Ashland Ave & Augusta Blvd,20,13,23,41.896747,-87.635668,5/7/2022 23:35
Ashland Ave & Belle Plaine Ave,4,79,19,41.87464,-87.65703,5/7/2022 23:35
Ashland Ave & Blackhawk St,26,4,27,41.877181,-87.627844,5/7/2022 23:35
Ashland Ave & Chicago Ave,10,29,14,41.926756,-87.634429,5/7/2022 23:35
Ashland Ave & Division St,8,80,40,41.892278,-87.612043,5/7/2022 23:35
Ashland Ave & Garfield Blvd,37,5,39,41.877708,-87.635321,5/7/2022 23:35
Ashland Ave & Grace St,17,6,18,41.879356,-87.629791,5/7/2022 23:35
Ashland Ave & Grand Ave,14,48,27,41.886021,-87.630876,5/7/2022 23:35
Ashland Ave & Lake St,17,26,23,41.879472,-87.625689,5/7/2022 23:35
Ashland Ave & McDowell Ave,10,33,15,41.879344,-87.631985,5/7/2022 23:35
Ashland Ave & Pershing Rd,1,94,17,41.872078,-87.629544,5/7/2022 23:35
Ashland Ave & Wellington Ave,3,73,11,41.852619,-87.626488,5/7/2022 23:35
Ashland Ave & Wrightwood Ave,42,2,43,41.883984,-87.624684,5/7/2022 23:35
Augusta Blvd & Laramie Ave,10,52,21,41.884621,-87.627834,5/7/2022 23:35
Austin Blvd & Chicago Ave,10,33,15,41.876243,-87.624426,5/7/2022 23:35
Austin Blvd & Lake St,16,16,19,41.89993,-87.63443,5/7/2022 23:35
Austin Blvd & Madison St,23,23,30,41.889375,-87.627077,5/7/2022 23:35
Avenue L & 114th St,41,5,43,41.897764,-87.642884,5/7/2022 23:35
Avenue O & 118th St,31,18,38,41.88132,-87.629521,5/7/2022 23:35
Avenue O & 134th St,31,9,34,41.875933,-87.630585,5/7/2022 23:35
Avers Ave & Belmont Ave,30,29,42,41.884576,-87.63189,5/7/2022 23:35
Avondale Ave & Irving Park Rd,8,76,33,41.886024,-87.624117,5/7/2022 23:35
Baltimore Ave & 87th St,18,33,27,41.894722,-87.634362,5/7/2022 23:35
Bennett Ave & 79th St,18,5,19,41.896362,-87.654061,5/7/2022 23:35
Benson Ave & Church St,8,64,22,41.867324,-87.648625,5/7/2022 23:35
Bernard St & Elston Ave,25,4,26,41.888716,-87.644448,5/7/2022 23:35
Big Marsh Park,13,13,15,41.867118,-87.641088,5/7/2022 23:35
Bissell St & Armitage Ave,6,73,22,41.916433,-87.666746,5/7/2022 23:35
Bissell St & Armitage Ave*,22,0,22,41.867227,-87.625961,5/7/2022 23:35
Blackstone Ave & Hyde Park Blvd,8,58,19,41.910578,-87.649422,5/7/2022 23:35
Bloomingdale Ave & Harlem Ave,5,72,18,41.907655,-87.672552,5/7/2022 23:35
Blue Island Ave & 18th St,17,37,27,41.851375,-87.618835,5/7/2022 23:35
Bosworth Ave & Howard St,17,26,23,41.885637,-87.641823,5/7/2022 23:35
Bradley Park,19,24,25,41.925602,-87.653708,5/7/2022 23:35
Broadway & Argyle St,14,39,23,41.875885,-87.640795,5/7/2022 23:35
Broadway & Barry Ave,17,23,22,41.909396,-87.677692,5/7/2022 23:35
Broadway & Belmont Ave,9,61,23,41.885779,-87.651025,5/7/2022 23:35
Broadway & Berwyn Ave,33,13,38,41.860384,-87.625813,5/7/2022 23:35
Broadway & Cornelia Ave,13,32,19,41.88033,-87.642746,5/7/2022 23:35
Broadway & Granville Ave,10,52,21,41.893808,-87.641697,5/7/2022 23:35
Broadway & Ridge Ave,34,21,43,41.877245,-87.639366,5/7/2022 23:35
Broadway & Sheridan Rd,13,63,35,41.880958,-87.616743,5/7/2022 23:35
Broadway & Thorndale Ave,26,16,31,41.882242,-87.641066,5/7/2022 23:35
Broadway & Waveland Ave,12,33,18,41.880419,-87.655519,5/7/2022 23:35
Broadway & Wilson - Truman College Vaccination Site,20,49,39,41.884241,-87.629634,5/7/2022 23:35
Buckingham Fountain,3,82,17,41.891578,-87.648384,5/7/2022 23:35
Budlong Woods Library,5,75,20,41.90096,-87.623777,5/7/2022 23:35
Burling St & Diversey Pkwy,7,63,19,41.896373,-87.660984,5/7/2022 23:35
Burnham Greenway & 105th St,10,41,17,41.925563,-87.658404,5/7/2022 23:35
Burnham Greenway & 112th St,16,16,19,41.884069,-87.656853,5/7/2022 23:35
Burnham Harbor,26,13,30,41.875024,-87.633094,5/7/2022 23:35
California & 16th St,30,35,46,41.881032,-87.624084,5/7/2022 23:35
California Ave & 21st St,15,50,30,41.88338,-87.64117,5/7/2022 23:35
California Ave & 23rd Pl,6,68,19,41.894556,-87.653449,5/7/2022 23:35
California Ave & 26th St,11,15,13,41.913688,-87.652855,5/7/2022 23:35
California Ave & 29th St,11,58,26,41.918306,-87.636282,5/7/2022 23:35
California Ave & 36th St,7,36,11,41.778881,-87.586647,5/7/2022 23:35
California Ave & Altgeld St,11,52,23,41.884616,-87.644571,5/7/2022 23:35
California Ave & Berteau Ave,33,40,55,41.865312,-87.617867,5/7/2022 23:35
California Ave & Byron St,9,36,14,41.882664,-87.63253,5/7/2022 23:35
California Ave & Cortez St,2,89,18,41.892592,-87.617289,5/7/2022 23:35
California Ave & Division St,29,17,35,41.888243,-87.63639,5/7/2022 23:35
California Ave & Fletcher St,2,87,15,41.780911,-87.576324,5/7/2022 23:35
California Ave & Francis Pl (Temp),8,27,11,41.773458,-87.58534,5/7/2022 23:35
California Ave & Lake St,13,13,15,41.871467,-87.640949,5/7/2022 23:35
California Ave & Marquette Rd,16,41,27,41.897448,-87.628722,5/7/2022 23:35
California Ave & Milwaukee Ave,13,52,27,41.878119,-87.643948,5/7/2022 23:35
California Ave & Montrose Ave,14,26,19,41.87184,-87.64664,5/7/2022 23:35
California Ave & North Ave,9,53,19,41.874754,-87.649807,5/7/2022 23:35
California Ave & Winona St,12,54,26,41.893992,-87.629318,5/7/2022 23:35
Calumet Ave & 18th St,6,78,27,41.894666,-87.638437,5/7/2022 23:35
Calumet Ave & 21st St,6,45,11,41.883181,-87.648725,5/7/2022 23:35
Calumet Ave & 33rd St,5,67,15,41.918018,-87.652182,5/7/2022 23:35
Calumet Ave & 35th St,17,23,22,41.949399,-87.654529,5/7/2022 23:35
Calumet Ave & 51st St,21,5,22,41.936253,-87.652662,5/7/2022 23:35
Calumet Ave & 71st St,9,25,12,41.91552,-87.687022,5/7/2022 23:35
Calumet Park,21,0,21,41.94018,-87.65304,5/7/2022 23:35
Campbell Ave & 51st St,6,67,18,41.911386,-87.638677,5/7/2022 23:35
Campbell Ave & Fullerton Ave,14,26,19,41.88592,-87.66717,5/7/2022 23:35
Campbell Ave & Irving Park Rd,11,39,18,41.853085,-87.631931,5/7/2022 23:35
Campbell Ave & Montrose Ave,13,28,18,41.802562,-87.590368,5/7/2022 23:35
Campbell Ave & North Ave,11,27,15,41.87501,-87.67328,5/7/2022 23:35
Canal St & Adams St,7,53,15,41.922695,-87.697153,5/7/2022 23:35
Canal St & Harrison St,6,60,15,41.854967,-87.6757,5/7/2022 23:35
Canal St & Jackson Blvd,19,14,22,41.890173,-87.626185,5/7/2022 23:35
Canal St & Madison St,8,43,14,41.911974,-87.631942,5/7/2022 23:35
Canal St & Monroe St,13,7,14,41.924161,-87.64638,5/7/2022 23:35
Canal St & Taylor St,16,16,19,41.895769,-87.67722,5/7/2022 23:35
Cannon Dr & Fullerton Ave,5,64,14,41.857556,-87.661535,5/7/2022 23:35
Carpenter St & 63rd St,15,21,19,41.903266,-87.678435,5/7/2022 23:35
Carpenter St & Huron St,8,43,14,41.939365,-87.668385,5/7/2022 23:35
Central Ave & Chicago Ave,10,33,15,41.850084,-87.632141,5/7/2022 23:35
Central Ave & Harrison St,21,30,30,41.889177,-87.638506,5/7/2022 23:35
Central Ave & Lake St,12,33,18,41.877642,-87.649618,5/7/2022 23:35
Central Ave & Madison St,1,90,10,41.85378,-87.646603,5/7/2022 23:35
Central Ave & Parker Ave,12,20,15,41.865054,-87.656959,5/7/2022 23:35
Central Ave & Roscoe St,2,85,13,41.862378,-87.651062,5/7/2022 23:35
Central Park & Augusta Blvd,11,27,15,41.904613,-87.640552,5/7/2022 23:35
Central Park Ave & 24th St,15,17,18,41.898969,-87.629912,5/7/2022 23:35
Central Park Ave & Bloomingdale Ave,8,53,17,41.915689,-87.6346,5/7/2022 23:35
Central Park Ave & Douglas Blvd,21,32,31,41.894503,-87.617854,5/7/2022 23:35
Central Park Ave & Elbridge Ave,10,33,15,41.922167,-87.638888,5/7/2022 23:35
Central Park Ave & North Ave,16,16,19,41.921822,-87.64414,5/7/2022 23:35
Central Park Ave & Ogden Ave,7,59,17,41.898587,-87.621915,5/7/2022 23:35
Central Park Ave & Ohio St,0,100,18,41.877945,-87.662007,5/7/2022 23:35
Central Park Blvd & 5th Ave,14,7,15,41.845687,-87.622481,5/7/2022 23:35
Central St & Girard Ave,2,87,15,41.834734,-87.625813,5/7/2022 23:35
Central St Metra,9,10,10,41.8349,-87.61793,5/7/2022 23:35
Cherry Ave & Blackhawk St,17,32,25,41.838556,-87.608218,5/7/2022 23:35
Chicago Ave & Sheridan Rd,4,67,12,41.932225,-87.658617,5/7/2022 23:35
Chicago Ave & Washington St,12,33,18,41.935733,-87.663576,5/7/2022 23:35
Chicago State University,13,7,14,41.939478,-87.663748,5/7/2022 23:35
Christiana Ave & Lawrence Ave,12,14,14,41.936497,-87.647539,5/7/2022 23:35
Cicero Ave & Flournoy St,6,50,12,41.936688,-87.636829,5/7/2022 23:35
Cicero Ave & Grace St,4,71,14,41.912616,-87.681391,5/7/2022 23:35
Cicero Ave & Lake St,3,73,11,41.907781,-87.685854,5/7/2022 23:35
Cicero Ave & Quincy St,11,27,15,41.910535,-87.689556,5/7/2022 23:35
Cityfront Plaza Dr & Pioneer Ct,14,36,22,41.895765,-87.625908,5/7/2022 23:35
Claremont Ave & Hirsch St,8,43,14,41.93588,-87.67842,5/7/2022 23:35
Clarendon Ave & Gordon Ter,4,73,15,41.931931,-87.677856,5/7/2022 23:35
Clarendon Ave & Junior Ter,17,35,26,41.885837,-87.6355,5/7/2022 23:35
Clarendon Ave & Leland Ave,17,23,22,41.95078,-87.659172,5/7/2022 23:35
Clark St & 9th St (AMLI),6,60,15,41.92883,-87.668507,5/7/2022 23:35
Clark St & Armitage Ave,2,71,7,41.8492,-87.67564,5/7/2022 23:35
Clark St & Berwyn Ave,12,33,18,41.864059,-87.623727,5/7/2022 23:35
Clark St & Bryn Mawr Ave,14,7,15,41.874255,-87.639573,5/7/2022 23:35
Clark St & Chicago Ave,11,27,15,41.85795,-87.640826,5/7/2022 23:35
Clark St & Columbia Ave,6,45,11,41.855136,-87.654127,5/7/2022 23:35
Clark St & Drummond Pl,9,10,10,41.902309,-87.627691,5/7/2022 23:35
Clark St & Elm St,9,40,15,41.896945,-87.621758,5/7/2022 23:35
Clark St & Elmdale Ave,26,26,35,41.882091,-87.639833,5/7/2022 23:35
Clark St & Grace St,17,0,17,41.872596,-87.633502,5/7/2022 23:35
Clark St & Ida B Wells Dr,18,49,35,41.902973,-87.63128,5/7/2022 23:35
Clark St & Jarvis Ave,6,78,27,41.926277,-87.630834,5/7/2022 23:35
Clark St & Lake St,12,20,15,41.856594,-87.627542,5/7/2022 23:35
Clark St & Leland Ave,10,33,15,41.8246,-87.61678,5/7/2022 23:35
Clark St & Lincoln Ave,6,60,15,41.906866,-87.626217,5/7/2022 23:35
Clark St & Lunt Ave,4,87,30,41.890762,-87.631697,5/7/2022 23:35
Clark St & Montrose Ave,12,48,23,41.903222,-87.634324,5/7/2022 23:35
Clark St & Newport St,3,86,21,41.901315,-87.677409,5/7/2022 23:35
Clark St & North Ave,10,47,19,41.831036,-87.626798,5/7/2022 23:35
Clark St & Randolph St,3,73,11,41.917741,-87.691392,5/7/2022 23:35
Clark St & Schiller St,8,47,15,41.891795,-87.658751,5/7/2022 23:35
Clark St & Schreiber Ave,12,20,15,41.92533,-87.6658,5/7/2022 23:35
Clark St & Touhy Ave,6,57,14,41.928773,-87.663913,5/7/2022 23:35
Clark St & Wellington Ave,25,7,27,41.88169,-87.63953,5/7/2022 23:35
Clark St & Winnemac Ave,29,38,47,41.879255,-87.639904,5/7/2022 23:35
Clark St & Wrightwood Ave,5,55,11,41.841707,-87.626938,5/7/2022 23:35
Clifton Ave & Armitage Ave,14,18,17,41.886875,-87.62603,5/7/2022 23:35
Clinton St & 18th St,41,24,54,41.884728,-87.619521,5/7/2022 23:35
Clinton St & Jackson Blvd,14,53,30,41.890573,-87.622072,5/7/2022 23:35
Clinton St & Lake St,18,0,18,41.882134,-87.625125,5/7/2022 23:35
Clinton St & Madison St,16,41,27,41.881892,-87.648789,5/7/2022 23:35
Clinton St & Polk St,8,74,31,41.891466,-87.626761,5/7/2022 23:35
Clinton St & Roosevelt Rd,9,18,11,41.809851,-87.616279,5/7/2022 23:35
Clinton St & Tilden St,8,20,10,41.82168,-87.6216,5/7/2022 23:35
Clinton St & Washington Blvd,13,13,15,41.857506,-87.645991,5/7/2022 23:35
Clybourn Ave & Division St,4,73,15,41.854109,-87.685838,5/7/2022 23:35
Clyde Ave & 87th St,5,55,11,41.794853,-87.618691,5/7/2022 23:35
Columbus Dr & Randolph St,12,20,15,41.857901,-87.668745,5/7/2022 23:35
Commercial Ave & 100th St,6,57,14,41.847203,-87.646795,5/7/2022 23:35
Commercial Ave & 130th St,9,40,15,41.84358,-87.645368,5/7/2022 23:35
Commercial Ave & 83rd St,6,57,14,41.854915,-87.66356,5/7/2022 23:35
Conservatory Dr & Lake St,6,45,11,41.849527,-87.640591,5/7/2022 23:35
Constance Ave & 95th St,18,25,24,41.90345,-87.667747,5/7/2022 23:35
Cornell Ave & Hyde Park Blvd,8,58,19,41.894345,-87.622798,5/7/2022 23:35
Cornell Dr & Hayes Dr,26,13,30,41.889906,-87.634266,5/7/2022 23:35
Cottage Grove Ave & 111th Pl,0,100,13,41.910509,-87.682389,5/7/2022 23:35
Cottage Grove Ave & 43rd St,12,48,23,41.892394,-87.676885,5/7/2022 23:35
Cottage Grove Ave & 47th St,1,93,15,41.88137,-87.67493,5/7/2022 23:35
Cottage Grove Ave & 51st St,2,87,15,41.903029,-87.697474,5/7/2022 23:35
Cottage Grove Ave & 63rd St,7,50,14,41.886616,-87.65804,5/7/2022 23:35
Cottage Grove Ave & 67th St,4,60,10,41.856802,-87.633879,5/7/2022 23:35
Cottage Grove Ave & 71st St,0,100,18,41.915983,-87.677335,5/7/2022 23:35
Cottage Grove Ave & 78th St,22,0,22,41.931248,-87.644336,5/7/2022 23:35
Cottage Grove Ave & 83rd St,8,56,18,41.920196,-87.692659,5/7/2022 23:35
Cottage Grove Ave & Oakwood Blvd,8,43,14,41.918216,-87.656936,5/7/2022 23:35
Daley Center Plaza,7,63,19,41.913865,-87.648755,5/7/2022 23:35
Damen Ave & 33rd St,5,75,20,41.919936,-87.64883,5/7/2022 23:35
Damen Ave & 51st St,11,0,11,41.939743,-87.658865,5/7/2022 23:35
Damen Ave & 59th St,14,33,21,41.94815,-87.66394,5/7/2022 23:35
Damen Ave & 74th St,11,27,15,41.9406,-87.6785,5/7/2022 23:35
Damen Ave & Charleston St,15,21,19,41.943739,-87.66402,5/7/2022 23:35
Damen Ave & Chicago Ave,16,16,19,41.943785,-87.671251,5/7/2022 23:35
Damen Ave & Clybourn Ave,20,9,22,41.96167,-87.65464,5/7/2022 23:35
Damen Ave & Cortland St,9,55,20,41.949473,-87.646453,5/7/2022 23:35
Damen Ave & Coulter St,10,38,16,41.883165,-87.6511,5/7/2022 23:35
Damen Ave & Cullerton St,5,71,17,41.961588,-87.666036,5/7/2022 23:35
Damen Ave & Division St,2,87,15,41.907626,-87.638566,5/7/2022 23:35
Damen Ave & Foster Ave,12,37,19,41.842052,-87.617,5/7/2022 23:35
Damen Ave & Grand Ave,11,21,14,41.961406,-87.676169,5/7/2022 23:35
Damen Ave & Leland Ave,8,58,19,41.9664,-87.688704,5/7/2022 23:35
Damen Ave & Madison St,18,28,25,41.954245,-87.654406,5/7/2022 23:35
Damen Ave & Melrose Ave,3,84,19,41.871737,-87.65103,5/7/2022 23:35
Damen Ave & Pershing Rd,14,7,15,41.967094,-87.679028,5/7/2022 23:35
Damen Ave & Pierce Ave,9,31,13,41.963004,-87.684781,5/7/2022 23:35
Damen Ave & Sunnyside Ave,10,47,19,41.95469,-87.67393,5/7/2022 23:35
Damen Ave & Thomas St (Augusta Blvd),13,32,19,41.961004,-87.649603,5/7/2022 23:35
Damen Ave & Wabansia Ave,7,36,11,41.956057,-87.668835,5/7/2022 23:35
Damen Ave & Walnut (Lake) St,12,33,18,41.795212,-87.580715,5/7/2022 23:35
Damen Ave & Wellington Ave,9,50,18,41.795264,-87.596471,5/7/2022 23:35
Dauphin Ave & 103rd St,17,37,27,41.963982,-87.638181,5/7/2022 23:35
Dauphin Ave & 87th St,5,71,17,41.936083,-87.669807,5/7/2022 23:35
Dayton St & North Ave,7,46,13,41.967968,-87.650001,5/7/2022 23:35
Dearborn Pkwy & Delaware Pl,10,33,15,41.809835,-87.599383,5/7/2022 23:35
Dearborn St & Adams St,4,69,13,41.968812,-87.657659,5/7/2022 23:35
Dearborn St & Erie St,2,87,15,41.954383,-87.648043,5/7/2022 23:35
Dearborn St & Monroe St,14,62,37,41.867888,-87.623041,5/7/2022 23:35
Dearborn St & Van Buren St,7,53,15,41.952833,-87.649993,5/7/2022 23:35
Delano Ct & Roosevelt Rd,12,20,15,41.948797,-87.675278,5/7/2022 23:35
Desplaines St & Jackson Blvd,2,93,27,41.929465,-87.684158,5/7/2022 23:35
Desplaines St & Kinzie St,11,27,15,41.918491,-87.697423,5/7/2022 23:35
Desplaines St & Randolph St,11,68,34,41.929567,-87.707857,5/7/2022 23:35
Dodge Ave & Church St,14,7,15,41.871514,-87.669886,5/7/2022 23:35
Dodge Ave & Main St,7,36,11,41.827059,-87.64572,5/7/2022 23:35
Dodge Ave & Mulford St,1,91,11,41.836208,-87.613533,5/7/2022 23:35
Dorchester Ave & 49th St,10,41,17,41.886835,-87.62232,5/7/2022 23:35
Dorchester Ave & 63rd St,10,33,15,41.822985,-87.6071,5/7/2022 23:35
Doty Ave & 111th St,7,50,14,41.809443,-87.591875,5/7/2022 23:35
Drake Ave & Addison St,19,50,38,41.911722,-87.626804,5/7/2022 23:35
Drake Ave & Montrose Ave,6,45,11,41.75867,-87.586883,5/7/2022 23:35
DuSable Lake Shore Dr & Belmont Ave,1,91,11,41.816499,-87.606582,5/7/2022 23:35
DuSable Lake Shore Dr & Diversey Pkwy,2,82,11,41.838842,-87.621857,5/7/2022 23:35
DuSable Lake Shore Dr & Monroe St,13,43,23,41.857813,-87.62455,5/7/2022 23:35
DuSable Lake Shore Dr & North Blvd,10,33,15,41.861267,-87.656625,5/7/2022 23:35
DuSable Lake Shore Dr & Wellington Ave,5,67,15,41.865234,-87.666507,5/7/2022 23:35
DuSable Museum,9,18,11,41.910475,-87.696894,5/7/2022 23:35
Dusable Harbor,9,36,14,41.891072,-87.666611,5/7/2022 23:35
East End Ave & 87th St,10,33,15,41.830707,-87.641255,5/7/2022 23:35
Eastlake Ter & Rogers Ave,14,7,15,41.830661,-87.647172,5/7/2022 23:35
Eberhart Ave & 131st St,9,18,11,41.8378,-87.65114,5/7/2022 23:35
Eberhart Ave & 61st St,5,29,7,41.84847,-87.685109,5/7/2022 23:35
Eberhart Ave & 91st St,2,83,12,41.864883,-87.647071,5/7/2022 23:35
Eckhart Park,35,0,35,41.878166,-87.631929,5/7/2022 23:35
Eggleston Ave & 69th St,20,13,23,41.87785,-87.62408,5/7/2022 23:35
Eggleston Ave & 92nd St,15,21,19,41.889899,-87.671473,5/7/2022 23:35
Elizabeth (May) St & Fulton St,12,20,15,41.879434,-87.635504,5/7/2022 23:35
Elizabeth St & 47th St,19,37,30,41.880317,-87.635185,5/7/2022 23:35
Elizabeth St & 59th St,1,93,14,41.918084,-87.643749,5/7/2022 23:35
Elizabeth St & 92nd St,1,94,18,41.912133,-87.634656,5/7/2022 23:35
Ellis Ave & 53rd St,8,47,15,41.921525,-87.707322,5/7/2022 23:35
Ellis Ave & 55th St,10,41,17,41.906724,-87.63483,5/7/2022 23:35
Ellis Ave & 58th St,7,36,11,41.957081,-87.664199,5/7/2022 23:35
Ellis Ave & 60th St,12,45,22,41.965221,-87.658139,5/7/2022 23:35
Ellis Ave & 83rd St,8,43,14,41.978353,-87.659753,5/7/2022 23:35
Elmwood Ave & Austin St,14,26,19,41.973815,-87.65966,5/7/2022 23:35
Elston Ave & Cortland St,8,58,19,41.940106,-87.645451,5/7/2022 23:35
Elston Ave & George St,11,27,15,41.961507,-87.671387,5/7/2022 23:35
Elston Ave & Henderson St,1,93,15,41.956004,-87.680161,5/7/2022 23:35
Elston Ave & Wabansia Ave,3,75,12,41.94367,-87.64895,5/7/2022 23:35
Emerald Ave & 28th St,6,65,17,41.937582,-87.644098,5/7/2022 23:35
Emerald Ave & 31st St,17,6,18,41.907993,-87.631501,5/7/2022 23:35
